,개방서비스명,상세영업상태코드,상세영업상태명,소재지전체주소,사업장명,업태구분명,시도,시군구,시도 시군구
9361,단란주점영업,1,영업,부산광역시 수영구 민락동 181-46,샤인,단란주점,부산광역시,수영구,부산광역시 수영구
9362,단란주점영업,1,영업,부산광역시 금정구 구서동 175-29,샤프노래방,단란주점,부산광역시,금정구,부산광역시 금정구
9363,단란주점영업,1,영업,부산광역시 금정구 구서동 655-0,큐 단란주점,단란주점,부산광역시,금정구,부산광역시 금정구
9364,단란주점영업,1,영업,부산광역시 수영구 민락동 165-15 (지하1층),황진이,단란주점,부산광역시,수영구,부산광역시 수영구
9365,단란주점영업,1,영업,부산광역시 수영구 광안동 1026-7번지 지하1층,잘하네,단란주점,부산광역시,수영구,부산광역시 수영구
9366,단란주점영업,1,영업,부산광역시 수영구 광안동 207-19,노래포차 달리자,단란주점,부산광역시,수영구,부산광역시 수영구
9367,단란주점영업,1,영업,부산광역시 금정구 부곡동 395-1,즐거운노래마당,단란주점,부산광역시,금정구,부산광역시 금정구
9368,단란주점영업,1,영업,부산광역시 금정구 서동 195-2번지,금상가요반주,단란주점,부산광역시,금정구,부산광역시 금정구
9369,단란주점영업,1,영업,부산광역시 수영구 민락동 35-6,태양단란주점,단란주점,부산광역시,수영구,부산광역시 수영구
9370,단란주점영업,1,영업,부산광역시 수영구 망미동 826-48 지하1층,금빛,단란주점,부산광역시,수영구,부산광역시 수영구
9371,단란주점영업,1,영업,부산광역시 수영구 민락동 160-26 지하1층,오렌지 노래주점,단란주점,부산광역시,수영구,부산광역시 수영구
9372,단란주점영업,1,영업,부산광역시 수영구 남천동 296-4번지 지하1층,카니발노래주점,단란주점,부산광역시,수영구,부산광역시 수영구
9373,단란주점영업,1,영업,부산광역시 수영구 남천동 558-6번지,채플린,단란주점,부산광역시,수영구,부산광역시 수영구
9374,단란주점영업,1,영업,부산광역시 수영구 수영동 312-4번지,설국,단란주점,부산광역시,수영구,부산광역시 수영구
9375,단란주점영업,1,영업,부산광역시 금정구 장전동 654-37,호박 술마시는 노래방,단란주점,부산광역시,금정구,부산광역시 금정구
