성별,행정구역별,시점,평균시간 (시간)
전체,경기도 의정부시,2019,6.5
전체,경기도 이천시,2015,6.6
전체,경기도 이천시,2016,6.7
전체,경기도 이천시,2017,6.6
전체,경기도 이천시,2018,6.8
전체,경기도 이천시,2019,6.7
전체,경기도 파주시,2015,6.5
전체,경기도 파주시,2016,6.6
전체,경기도 파주시,2017,6.5
전체,경기도 파주시,2018,6.6
전체,경기도 파주시,2019,6.6
전체,경기도 포천시,2015,6.6
전체,경기도 포천시,2016,6.6
전체,경기도 포천시,2017,6.7
전체,경기도 포천시,2018,6.7
전체,경기도 포천시,2019,6.9
전체,경기도 하남시,2015,6.4
전체,경기도 하남시,2016,6.5
전체,경기도 하남시,2017,6.5
전체,경기도 하남시,2018,6.6
전체,경기도 하남시,2019,6.6
전체,경기도 광명시,2015,6.5
전체,경기도 광명시,2016,6.6
전체,경기도 광명시,2017,6.7
전체,경기도 광명시,2018,6.6
전체,경기도 광명시,2019,6.6
전체,경기도 광주시,2015,6.5
전체,경기도 광주시,2016,6.5
전체,경기도 광주시,2017,6.6
전체,경기도 광주시,2018,6.8
전체,경기도 광주시,2019,6.5
전체,경기도 군포시,2015,6.5
전체,경기도 군포시,2016,6.5
전체,경기도 군포시,2017,6.5
전체,경기도 군포시,2018,6.6
전체,경기도 군포시,2019,6.6
전체,경기도 성남시,2015,6.5
전체,경기도 성남시,2016,6.5
전체,경기도 성남시,2017,6.6
전체,경기도 성남시,2018,6.7
전체,경기도 성남시,2019,6.6
전체,경기도 수원시,2015,6.4
전체,경기도 수원시,2016,6.5
전체,경기도 수원시,2017,6.5
전체,경기도 수원시,2018,6.6
전체,경기도 수원시,2019,6.6
전체,경기도 시흥시,2015,6.5
전체,경기도 시흥시,2016,6.5
전체,경기도 시흥시,2017,6.5
전체,경기도 시흥시,2018,6.8
전체,경기도 시흥시,2019,6.5
전체,경기도 안산시,2015,6.4
전체,경기도 안산시,2016,6.5
전체,경기도 안산시,2017,6.4
전체,경기도 안산시,2018,6.6
전체,경기도 안산시,2019,6.5
전체,경기도 안성시,2015,6.5
전체,경기도 안성시,2016,6.7
전체,경기도 안성시,2017,6.5
전체,경기도 안성시,2018,6.9
전체,경기도 안성시,2019,6.7
전체,경기도 안양시,2015,6.4
전체,경기도 안양시,2016,6.4
전체,경기도 안양시,2017,6.4
전체,경기도 안양시,2018,6.5
전체,경기도 안양시,2019,6.6
전체,경기도 오산시,2015,6.5
전체,경기도 오산시,2016,6.5
전체,경기도 오산시,2017,6.5
전체,경기도 오산시,2018,6.7
전체,경기도 오산시,2019,6.6
전체,경기도 용인시,2015,6.4
전체,경기도 용인시,2016,6.5
전체,경기도 용인시,2017,6.6
전체,경기도 용인시,2018,6.6
전체,경기도 용인시,2019,6.6
전체,경기도 의왕시,2015,6.4
전체,경기도 의왕시,2016,6.5
전체,경기도 의왕시,2017,6.6
전체,경기도 의왕시,2018,6.6
전체,경기도 의왕시,2019,6.4
전체,경기도 평택시,2015,6.5
전체,경기도 평택시,2016,6.6
전체,경기도 평택시,2017,6.5
전체,경기도 평택시,2018,6.8
전체,경기도 평택시,2019,6.6
전체,경기도 화성시,2015,6.6
