영업상태구분코드,소재지면적,소재지전체주소,사업장명,위생업태명,시도,시군구,시도 시군구
1,116,경상북도 영주시 영주동 416-10 (지상2층),쌍쌍파티,기타,경상북도,영주시,경상북도 영주시
1,141.46,경상북도 영주시 영주동 531-4 (지하1층),가요무대,기타,경상북도,영주시,경상북도 영주시
1,30.81,경상북도 영주시 영주동 416-10,동그라미,기타,경상북도,영주시,경상북도 영주시
1,117.6,경상북도 영주시 영주동 534-6번지 (지상2층),버킹검,기타,경상북도,영주시,경상북도 영주시
1,56.6,경상북도 영주시 휴천동 308-2 (2층),파라다이스,기타,경상북도,영주시,경상북도 영주시
1,49.05,경상북도 영주시 휴천동 301-5,날마다생일가요주점,기타,경상북도,영주시,경상북도 영주시
1,124.95,경상북도 영주시 휴천동 303-16 2층,스캔들,기타,경상북도,영주시,경상북도 영주시
1,25.5,경상북도 영주시 휴천동 308-2,파트너가요주점,기타,경상북도,영주시,경상북도 영주시
1,33.21,경상북도 영주시 휴천동 303-11,슈가가요주점,기타,경상북도,영주시,경상북도 영주시
1,56.03,경상북도 영주시 휴천동 307-25,초이스주점,기타,경상북도,영주시,경상북도 영주시
1,121.54,경상북도 영주시 영주동 549,댄스가요주점,고고(디스코)클럽,경상북도,영주시,경상북도 영주시
1,78.8,경상북도 영주시 하망동 422-69 (지하1층),뽕짝나이트,고고(디스코)클럽,경상북도,영주시,경상북도 영주시
1,31.32,경상북도 영주시 휴천동 304-7,신데렐라가요주점,기타,경상북도,영주시,경상북도 영주시
1,103,경상북도 영주시 휴천동 301-21 (지상2층),토마토,고고(디스코)클럽,경상북도,영주시,경상북도 영주시
1,76.52,경상북도 영주시 휴천동 307-4 (지상2층),헤라가요주점,기타,경상북도,영주시,경상북도 영주시
1,202.5,경상북도 영주시 영주동 505-3 2층,뉴아시아나,기타,경상북도,영주시,경상북도 영주시
1,73,경상북도 영주시 영주동 334-18 외1필지(지하1층),테마룸,룸살롱,경상북도,영주시,경상북도 영주시
1,65.6,경상북도 영주시 휴천동 308-4 (2층),투스타노래광장,기타,경상북도,영주시,경상북도 영주시
1,60.4,경상북도 영주시 휴천동 308-4 (1층),노래하는원스타,기타,경상북도,영주시,경상북도 영주시
1,340.05,경상북도 영주시 영주동 382-28 외6필지,백악관가요주점,기타,경상북도,영주시,경상북도 영주시
1,126.7,경상북도 영주시 영주동 505-7 (2층),쟁반노래광장,기타,경상북도,영주시,경상북도 영주시
1,58.2,경상북도 영주시 영주동 334-18 외1필지,테마2,기타,경상북도,영주시,경상북도 영주시
1,95.2,경상북도 영주시 하망동 344-76 (2층),케이투가요주점,기타,경상북도,영주시,경상북도 영주시
1,119.86,경상북도 영주시 영주동 418-13 (지상9층),포유,기타,경상북도,영주시,경상북도 영주시
1,129.06,경상북도 영주시 휴천동 327-22,샵,기타,경상북도,영주시,경상북도 영주시
1,103.87,경상북도 영주시 휴천동 310-10,해피데이,기타,경상북도,영주시,경상북도 영주시
1,34.41,경상북도 영주시 영주동 534-15,정거장,기타,경상북도,영주시,경상북도 영주시
1,126.05,경상북도 영주시 휴천동 707-12,친구사이,룸살롱,경상북도,영주시,경상북도 영주시
1,224.76,경상북도 영주시 휴천동 328-1 대성빌딩 201호,벤틀리가요주점,기타,경상북도,영주시,경상북도 영주시
1,106.5,경상북도 영주시 휴천동 642-328,4유,룸살롱,경상북도,영주시,경상북도 영주시
1,110,경상북도 영주시 휴천동 301-20,이화궁,기타,경상북도,영주시,경상북도 영주시
1,165.29,경상북도 영주시 휴천동 492-2,비비,기타,경상북도,영주시,경상북도 영주시
1,128.39,경상북도 영주시 휴천동 310-9,비타민가요주점,기타,경상북도,영주시,경상북도 영주시
1,132,경상북도 영주시 영주동 418-17,코코룸,룸살롱,경상북도,영주시,경상북도 영주시
1,186.51,경상북도 영주시 가흥동 1730-3번지 2층,엣지노래홀,기타,경상북도,영주시,경상북도 영주시
1,174.08,경상북도 영주시 가흥동 1730-1 2층,노블레스노래하는가요방,기타,경상북도,영주시,경상북도 영주시
